n_estimators,learning_rate,num_leaves,subsample,subsample_freq,colsample_bytree,Train_RMSPE,Val_RMSPE
4000,0.1,63,0.8,1,1.0,0.2052603558672929,0.11433264417455308
5000,0.1,63,0.8,1,1.0,0.17833062774622638,0.11436631707793105
6000,0.1,63,0.8,1,1.0,0.147826086110035,0.11454057974882695
3000,0.1,63,0.8,1,1.0,0.24037788232223423,0.11486382468862308
4000,0.1,63,0.9,1,1.0,0.1939105464704758,0.1160912741802472
5000,0.1,63,0.9,1,1.0,0.16379743898747418,0.11612240507114253
6000,0.1,63,0.9,1,1.0,0.1532271074659865,0.11631079127437369
3000,0.1,63,0.9,1,1.0,0.22387135924226612,0.11631281296019333
1000,0.1,63,0.8,1,1.0,0.3590201546945353,0.1195010639086815
1000,0.1,63,0.6,1,1.0,0.3568932007745373,0.1206329200901737
1000,0.1,63,0.6,1,0.8,0.3538814518082195,0.1213957209173121
1000,0.1,63,1.0,1,0.8,0.3575099160360651,0.1220885143123363
1000,0.1,63,1.0,1,1.0,0.3396378040989845,0.1223576371703815
1000,0.1,63,0.8,1,0.8,0.3556049159052933,0.1227871049745586
1000,0.1,63,0.8,1,0.5,0.3651223216836603,0.1246906037868295
1000,0.1,63,1.0,1,0.5,0.3591470459390117,0.1249476862735792
1000,0.1,63,0.6,1,0.5,0.4142194772699857,0.1251166970666693
500,0.1,63,0.8,1,1.0,0.4233888973527502,0.1268203852781917
1000,0.1,31,0.8,1,1.0,0.4338083406018199,0.1277012707595614
1000,0.05,63,0.8,1,1.0,0.422066900732285,0.1285808407954133
500,0.1,63,0.6,1,0.8,0.4383891205069928,0.1288087050867802
500,0.1,63,0.6,1,1.0,0.4304684984019356,0.1290097779403189
1000,0.05,63,0.8,1,0.8,0.4307881345675239,0.1293320012944265
1000,0.05,63,0.6,1,0.8,0.4526039716348842,0.1294903564596627
1000,0.05,63,1.0,1,0.8,0.4200235485671312,0.1296209720721135
1000,0.05,63,0.6,1,1.0,0.4439934177988147,0.1298393377106584
500,0.1,63,1.0,1,0.8,0.4557262439417027,0.1298519920837451
1000,0.1,31,1.0,1,0.8,0.4564163142436943,0.130321185889609
1000,0.1,31,0.6,1,1.0,0.4331969828376499,0.1306130670901461
500,0.1,63,1.0,1,1.0,0.4628973501276274,0.1307065152884912
1000,0.1,31,1.0,1,1.0,0.4481205564841846,0.131006149566896
1000,0.1,31,0.8,1,0.8,0.4486854155249138,0.1310405722602427
1000,0.05,63,1.0,1,1.0,0.4357796694626025,0.1311765679486254
500,0.1,63,0.8,1,0.8,0.4637896941739701,0.1312099134098294
1000,0.1,31,0.6,1,0.8,0.4197907509757964,0.1312939926523537
1000,0.05,63,0.6,1,0.5,0.4424604627549619,0.1340650776217508
1000,0.05,63,0.8,1,0.5,0.4403758816528354,0.1356207023148886
500,0.1,63,0.8,1,0.5,0.4291275970017451,0.1359449521737787
1000,0.05,63,1.0,1,0.5,0.4288440727332483,0.1360419218938677
500,0.1,63,0.6,1,0.5,0.4877770803090953,0.1361084412910649
500,0.1,63,1.0,1,0.5,0.4211420450063005,0.137207723126931
1000,0.1,31,0.6,1,0.5,0.4418961291935826,0.1376504874721807
1000,0.1,31,0.8,1,0.5,0.4516202722826422,0.1378320076901614
1000,0.1,31,1.0,1,0.5,0.4585101703602068,0.138654844285892
500,0.05,63,0.8,1,1.0,0.5084063497482737,0.1449311851632256
500,0.1,31,0.6,1,1.0,0.4929427737146645,0.1463632350589617
500,0.1,31,0.8,1,1.0,0.483658038790928,0.1463879256335664
500,0.05,63,0.6,1,0.8,0.4969532199184305,0.1469311145008733
500,0.05,63,0.6,1,1.0,0.504859057905176,0.1470492603991395
500,0.05,63,0.8,1,0.8,0.4861498265822288,0.1480523842536037
500,0.1,31,0.8,1,0.8,0.495824504561958,0.1484798590363482
500,0.1,31,1.0,1,1.0,0.4855915563145415,0.1486898971198121
500,0.05,63,1.0,1,1.0,0.4763242368179735,0.1493711836913869
1000,0.05,31,0.6,1,1.0,0.4844164302677566,0.1493942081381165
500,0.1,31,0.6,1,0.8,0.4960892919569942,0.1495639398151055
500,0.1,31,1.0,1,0.8,0.4956090699631583,0.1501062965206414
500,0.05,63,1.0,1,0.8,0.465827443975451,0.1505413946669876
1000,0.05,31,0.6,1,0.8,0.4796661970896197,0.1507315771504238
1000,0.05,31,1.0,1,0.8,0.4821921045213549,0.1510926348345418
1000,0.05,31,0.8,1,0.8,0.4729200160519926,0.1512449209206408
1000,0.05,31,1.0,1,1.0,0.4853697414375942,0.1515437268418867
1000,0.05,31,0.8,1,1.0,0.4771919597908468,0.1524925681102958
1000,0.1,15,0.6,1,1.0,0.4926142219288776,0.1534090338279824
1000,0.1,15,1.0,1,1.0,0.470114960742312,0.154716780438772
1000,0.1,15,0.8,1,1.0,0.4667175222674176,0.1548586517568805
1000,0.1,15,0.6,1,0.8,0.4643960582965798,0.1556636234724414
1000,0.1,15,0.8,1,0.8,0.5030953943539672,0.1576964588323225
500,0.05,63,1.0,1,0.5,0.4882384703954874,0.1585851290930995
1000,0.1,15,1.0,1,0.8,0.4758818961392672,0.1586164632820304
500,0.05,63,0.6,1,0.5,0.4914682035793065,0.1587395239353534
500,0.05,63,0.8,1,0.5,0.4922855319946754,0.1595836018417633
1000,0.05,31,0.8,1,0.5,0.495053962083573,0.1604480115267082
500,0.1,31,0.6,1,0.5,0.5002738046337165,0.161129775378132
500,0.1,31,0.8,1,0.5,0.51653494429772,0.1612362422038134
1000,0.05,31,1.0,1,0.5,0.4974669972691232,0.1616174190992924
1000,0.05,31,0.6,1,0.5,0.5017644607737064,0.1617251799630945
500,0.1,31,1.0,1,0.5,0.5000989377899385,0.1632371937722254
1000,0.1,15,0.6,1,0.5,0.4728064563886497,0.1662569986914132
1000,0.1,15,1.0,1,0.5,0.4923141480507547,0.1673713849546544
1000,0.1,15,0.8,1,0.5,0.4881278339121745,0.1676597515764652
500,0.05,31,0.6,1,1.0,0.5219464057241342,0.1838448380223749
500,0.05,31,0.8,1,0.8,0.5076065360198437,0.185436860954119
500,0.05,31,1.0,1,0.8,0.5141042430461328,0.1855731810665817
500,0.05,31,1.0,1,1.0,0.5175870646495304,0.1860172834379353
500,0.05,31,0.6,1,0.8,0.5147753752702943,0.1865154296779061
500,0.05,31,0.8,1,1.0,0.5190210379111682,0.1867094998343505
1000,0.05,15,0.8,1,1.0,0.4936752940099287,0.191805108561542
1000,0.05,15,0.6,1,1.0,0.5018134334034345,0.1926555289507141
500,0.1,15,0.8,1,1.0,0.5022589204580568,0.1928472607571102
500,0.1,15,1.0,1,1.0,0.4947961034462683,0.1928500984252384
500,0.1,15,0.6,1,0.8,0.5006597008489713,0.1928952360972329
500,0.1,15,0.6,1,1.0,0.518346398083651,0.1934013606593016
1000,0.05,15,1.0,1,1.0,0.5011694404593382,0.1950124740435579
