n_estimators,max_depth,max_samples,max_features,Train_RMSPE,Val_RMSPE
200,50.0,0.6,0.5,0.3022555825086677,0.11051546154424817
200,,0.6,0.5,0.3014374688533413,0.11056847854303845
100,,0.6,0.5,0.31022934356382215,0.11155583904188042
100,50.0,0.6,0.5,0.30975503900437423,0.11155646807017101
200,,0.8,0.5,0.2499932930835295,0.11173346455789566
200,50.0,0.8,0.5,0.24932483405298791,0.11179548726022609
100,,0.8,0.5,0.2620904532283784,0.11254790811233638
100,50.0,0.8,0.5,0.260748695818195,0.11266701419069383
200,50.0,0.8,sqrt,0.23372759528430806,0.13479998919314734
200,,0.8,sqrt,0.23369221310802055,0.13484051365341324
200,50.0,0.6,sqrt,0.2877273931545332,0.13553132266002854
200,,0.6,sqrt,0.2877273931545332,0.13553132266002854
100,50.0,0.8,sqrt,0.2535174057880466,0.13667521211685454
100,,0.8,sqrt,0.2535171857905109,0.13672177851912148
100,,0.6,sqrt,0.3047368782137911,0.13774635510778332
100,50.0,0.6,sqrt,0.3047368782137911,0.13774635510778332
200,,0.8,1,0.22947099251844166,0.20612184968849517
200,50.0,0.8,1,0.22951331246567372,0.20612753826315489
100,,0.8,1,0.24412400181735366,0.2103626151478345
100,50.0,0.8,1,0.2442063820823874,0.2103729546656211
200,,0.6,1,0.2783272370617592,0.21587033215092322
200,50.0,0.6,1,0.27832443234926824,0.21588173717727066
100,,0.6,1,0.2844038943858298,0.21869292134623455
100,50.0,0.6,1,0.2843985144907954,0.21871597515121624
200,50.0,1.0,0.5,0.6879688456432637,0.5259890431374615
200,50.0,1.0,sqrt,0.6879688456432637,0.5259890431374615
200,,1.0,0.5,0.6879688456432637,0.5259890431374615
200,50.0,1.0,1,0.6879688456432637,0.5259890431374615
200,,1.0,1,0.6879688456432637,0.5259890431374615
200,,1.0,sqrt,0.6879688456432637,0.5259890431374615
100,50.0,1.0,0.5,0.6981655790131677,0.534399933882005
100,50.0,1.0,sqrt,0.6981655790131677,0.534399933882005
100,,1.0,sqrt,0.6981655790131677,0.534399933882005
100,,1.0,1,0.6981655790131677,0.534399933882005
100,50.0,1.0,1,0.6981655790131677,0.534399933882005
100,,1.0,0.5,0.6981655790131677,0.534399933882005
