n_estimators,max_depth,max_samples,max_features,Train_RMSPE,Val_RMSPE
100,25,0.8,0.5,0.27048434212101546,0.11143083556645406
100,50,0.6,0.5,0.30975503900437423,0.11155646807017101
50,25,0.8,0.5,0.26814941326801117,0.11263863611202009
100,50,0.8,0.5,0.260748695818195,0.11266701419069383
100,25,0.6,0.5,0.31488752630300054,0.11325816315733696
50,50,0.6,0.5,0.2918601888810108,0.11383199894642286
50,50,0.8,0.5,0.25756494995620804,0.11470098727161963
50,25,0.6,0.5,0.29745134384330874,0.11579806530443877
100,50,0.8,sqrt,0.2535174057880466,0.13667521211685454
100,50,0.6,sqrt,0.3047368782137911,0.13774635510778332
50,50,0.8,sqrt,0.2520724976890197,0.13876486476581165
50,50,0.6,sqrt,0.29284516489756895,0.14059343578854971
100,25,0.8,sqrt,0.2649760933971332,0.14117255056890832
50,25,0.8,sqrt,0.261974470164183,0.14169693343104672
100,25,0.6,sqrt,0.30064595624653234,0.14177384234881518
50,25,0.6,sqrt,0.2718116239711498,0.1440197840571392
100,10,0.8,0.5,0.6053473975285117,0.3217021360391749
100,10,0.6,0.5,0.604764938360069,0.32266324181251016
50,10,0.8,0.5,0.6104268905958177,0.3248177753157275
50,10,0.6,0.5,0.610112719476775,0.32576192637262
100,10,0.8,sqrt,0.636570123894595,0.36499875223607875
50,10,0.8,sqrt,0.6316158848238032,0.3653859755584522
50,10,0.6,sqrt,0.6266132376079752,0.3663005516096142
100,10,0.6,sqrt,0.6328578110811862,0.36732622749352256
