n_estimators,learning_rate,num_leaves,subsample,subsample_freq,colsample_bytree,Train_RMSPE,Val_RMSPE
6000,0.1,63,0.9,1,1.0,0.03935038738105526,0.06133013644415602
5000,0.1,63,0.9,1,1.0,0.04112505586009608,0.06149735686676624
4000,0.1,63,0.9,1,1.0,0.04312623469292198,0.061782556941743436
3000,0.1,63,0.9,1,1.0,0.04557144014571457,0.062242343717197696
6000,0.1,63,0.8,1,1.0,0.039385024375109164,0.06276707743849876
5000,0.1,63,0.8,1,1.0,0.04117472726285534,0.06294749980363767
4000,0.1,63,0.8,1,1.0,0.04317696596379043,0.06306671803326086
3000,0.1,63,0.8,1,1.0,0.04559402530654844,0.06366394730588062
1000,0.1,63,1.0,1,0.8,0.0560985277897599,0.0652790256705148
1000,0.1,63,0.6,1,0.8,0.0557332479515555,0.0653941518565076
1000,0.1,63,0.8,1,0.8,0.0555289433714334,0.0658910650439421
1000,0.1,63,0.8,1,0.5,0.0571949346316364,0.0664443198136207
1000,0.1,63,1.0,1,1.0,0.0557132911829923,0.0666339841414511
1000,0.1,63,0.6,1,0.5,0.0571806611755689,0.0674922771106553
1000,0.1,63,0.6,1,1.0,0.0552338099938367,0.0675205227980232
1000,0.1,63,0.8,1,1.0,0.0551558202487041,0.0676294034459729
1000,0.1,63,1.0,1,0.5,0.0577736310136525,0.0677366064854655
500,0.1,63,0.6,1,0.8,0.0657101963645536,0.0713755820768187
500,0.1,63,1.0,1,0.8,0.0662514929366388,0.0715773780616048
1000,0.05,63,0.6,1,0.8,0.0647196920268186,0.0718490521268992
1000,0.05,63,0.8,1,0.8,0.0646202087879921,0.0720188759273228
1000,0.05,63,0.8,1,1.0,0.0642414558463659,0.0721988743381463
1000,0.1,31,1.0,1,0.8,0.0669632885983497,0.0722115920599489
1000,0.05,63,0.6,1,1.0,0.0637965974891987,0.0722160613919962
1000,0.1,31,0.8,1,0.5,0.0688675049411701,0.0722749062175378
500,0.1,63,0.8,1,0.8,0.0658287455912574,0.0724184267518084
1000,0.05,63,0.8,1,0.5,0.06722110135269,0.0725328562758999
1000,0.05,63,1.0,1,0.8,0.0655586829403761,0.0725546020181856
1000,0.1,31,1.0,1,1.0,0.0649058447277792,0.0727532536077062
1000,0.1,31,0.6,1,1.0,0.0643539891349625,0.0727546016425957
500,0.1,63,1.0,1,1.0,0.0653257138883738,0.0728033875833444
1000,0.05,63,1.0,1,0.5,0.068085141995093,0.0728877031388514
1000,0.05,63,0.6,1,0.5,0.0673865702683134,0.0729595111134962
1000,0.1,31,1.0,1,0.5,0.0687494814995662,0.0729918186329953
500,0.1,63,0.6,1,1.0,0.0651397437807455,0.0732706794911894
1000,0.1,31,0.6,1,0.8,0.0647662423701172,0.0732955991800352
1000,0.1,31,0.8,1,0.8,0.0659979969676779,0.0734730483375665
500,0.1,63,0.8,1,1.0,0.0644324351559885,0.0734861038764547
1000,0.05,63,1.0,1,1.0,0.0649207706978442,0.0735400736363103
1000,0.1,31,0.8,1,1.0,0.0650984933963318,0.0737177195259158
500,0.1,63,0.8,1,0.5,0.0684007366501726,0.0737435273448213
1000,0.1,31,0.6,1,0.5,0.0684086598083036,0.0739827088240026
500,0.1,63,0.6,1,0.5,0.0688464929597388,0.0746189110610531
500,0.1,63,1.0,1,0.5,0.068415715090241,0.0753635360153329
1000,0.05,31,0.6,1,1.0,0.0767882121919309,0.0804509732458752
1000,0.05,31,1.0,1,1.0,0.078445281637906,0.0806975317774672
1000,0.1,15,1.0,1,1.0,0.0794861102042559,0.0808532290111351
1000,0.05,31,0.6,1,0.8,0.0777438731412685,0.0808733431256227
500,0.05,63,0.8,1,0.8,0.0772964549784359,0.0810319142752891
500,0.05,63,0.6,1,0.8,0.0783199610419882,0.0812290116730091
1000,0.1,15,0.8,1,1.0,0.0786075244462407,0.0812409667258507
500,0.05,63,0.6,1,1.0,0.0772293529332279,0.0812738128137409
500,0.1,31,1.0,1,1.0,0.0765920812515824,0.081477215474052
500,0.05,63,0.8,1,1.0,0.0773269667970296,0.0814818111899287
500,0.1,31,1.0,1,0.8,0.0786859846594355,0.0815837677881345
1000,0.05,31,0.8,1,1.0,0.0770206716502057,0.081689169003592
1000,0.1,15,0.6,1,1.0,0.0788685125851753,0.0817849688327292
500,0.05,63,1.0,1,1.0,0.0782613919804421,0.0818385687661467
500,0.1,31,0.6,1,1.0,0.07772332477102,0.08193197192842
1000,0.05,31,1.0,1,0.8,0.0790365430729461,0.0819562436095537
500,0.1,31,0.8,1,0.5,0.0814930178255896,0.0820726445625764
500,0.05,63,1.0,1,0.8,0.0793603082162445,0.0821969524593012
500,0.05,63,0.8,1,0.5,0.0809776819311998,0.0822023062860938
500,0.1,31,0.6,1,0.8,0.0784139354553279,0.0823347295472125
1000,0.05,31,0.6,1,0.5,0.08109968528919,0.0823695966977444
1000,0.05,31,0.8,1,0.5,0.0804984248263768,0.0823787285812249
1000,0.05,31,0.8,1,0.8,0.0775150617642626,0.0824264198845036
500,0.1,31,0.8,1,1.0,0.0777258977534393,0.0825645545598707
500,0.1,31,1.0,1,0.5,0.0804050289850541,0.0825826058177884
1000,0.05,31,1.0,1,0.5,0.0807903966695755,0.0826262230410124
500,0.05,63,0.6,1,0.5,0.0824076157026491,0.0826794731140237
500,0.05,63,1.0,1,0.5,0.0811634369542204,0.0827554140839061
500,0.1,31,0.8,1,0.8,0.0775074467575582,0.0828526276281154
1000,0.1,15,0.8,1,0.8,0.0786495213555694,0.0828605202336074
1000,0.1,15,0.6,1,0.8,0.080734892735464,0.0828995086768633
1000,0.1,15,1.0,1,0.8,0.0803720987866766,0.0829343741197505
1000,0.1,15,0.8,1,0.5,0.083557490464721,0.0835494179022074
1000,0.1,15,1.0,1,0.5,0.0830237892756283,0.0836414908518997
1000,0.1,15,0.6,1,0.5,0.0831746485869528,0.0837396144306395
500,0.1,31,0.6,1,0.5,0.0818433675884947,0.0839806313379509
500,0.05,31,0.6,1,1.0,0.0923611259496501,0.0908879173071262
500,0.05,31,0.8,1,1.0,0.0913634304348819,0.0917274035534125
500,0.1,15,0.8,1,1.0,0.096024989507595,0.0918918957363943
500,0.05,31,1.0,1,1.0,0.0927715026293168,0.0921241763024295
500,0.05,31,1.0,1,0.8,0.0921218314371796,0.0923314065346082
500,0.05,31,0.6,1,0.8,0.0930799642275738,0.0924906285657001
500,0.1,15,1.0,1,0.8,0.0941138420905864,0.0925069379368821
1000,0.05,15,0.6,1,1.0,0.0930029800881927,0.0925211426622817
500,0.1,15,1.0,1,1.0,0.0940845283330192,0.0925628027060553
1000,0.05,15,1.0,1,1.0,0.09351068713005,0.0925929808923873
500,0.1,15,0.8,1,0.8,0.0938213486888768,0.0927209363179907
1000,0.05,15,0.6,1,0.8,0.0935461639022289,0.0928664983650192
1000,0.05,15,0.6,1,0.5,0.0954827279327331,0.0928905692934837
500,0.05,31,0.8,1,0.8,0.0925257500289602,0.0930252559300411
1000,0.05,15,0.8,1,0.8,0.0925255122781959,0.0931385089150273
1000,0.05,15,0.8,1,1.0,0.09312731000646,0.0931435943513938
500,0.1,15,0.6,1,1.0,0.0929616057021244,0.0933051137476395
500,0.05,31,0.6,1,0.5,0.0951090391111257,0.0933457656722766
1000,0.05,15,1.0,1,0.8,0.0935853273220171,0.0934416372232412
500,0.1,15,0.6,1,0.8,0.0936000557184329,0.0934770943515162
500,0.05,31,0.8,1,0.5,0.0937389697856615,0.0935365219703742
500,0.1,15,1.0,1,0.5,0.0947490845783128,0.093611988414264
1000,0.05,15,1.0,1,0.5,0.0966643973490421,0.0936122013948445
500,0.05,31,1.0,1,0.5,0.0933131615663667,0.0936797968447404
1000,0.05,15,0.8,1,0.5,0.0949169269901234,0.0937130879773524
500,0.1,15,0.8,1,0.5,0.0972716628344325,0.0940111394492291
500,0.1,15,0.6,1,0.5,0.0957346463587858,0.0941400589712282
1000,0.01,63,0.6,1,0.8,0.097859693015381,0.0949624270105848
