n_estimators,max_depth,max_samples,max_features,Train_RMSPE,Val_RMSPE
200,50.0,0.8,0.5,0.04197970042845713,0.09106835767118274
200,,0.8,0.5,0.04197403816228846,0.09106911294514827
100,,0.8,0.5,0.04238871891308397,0.09132332265039972
100,50.0,0.8,0.5,0.04239957199767524,0.09133634785006381
200,50.0,0.6,0.5,0.05291070306451798,0.09244105495282932
200,,0.6,0.5,0.05291070306451798,0.09244105495282932
100,,0.6,0.5,0.05275139606402959,0.09257726062669323
100,50.0,0.6,0.5,0.05275139606402959,0.09257726062669323
200,50.0,0.8,sqrt,0.06131168884722131,0.09638947621774095
200,,0.8,sqrt,0.06131236599315725,0.09640509294337817
100,50.0,0.8,sqrt,0.06053795341552504,0.09671745434438762
100,,0.8,sqrt,0.06053795341552504,0.09671745434438762
200,50.0,0.6,sqrt,0.07537818609095051,0.09853260468420355
200,,0.6,sqrt,0.07537818609095051,0.09853260468420355
100,,0.6,sqrt,0.07606946419514492,0.09883234039856019
100,50.0,0.6,sqrt,0.07606946419514492,0.09883234039856019
200,,0.8,1,0.08159238964693703,0.11819711141927351
100,,0.8,1,0.07924790662714912,0.11853152292316373
200,50.0,0.8,1,0.08179234447417456,0.11875206460766916
100,50.0,0.8,1,0.07997565286213322,0.11948056078318543
200,50.0,0.6,1,0.10008047854583606,0.1217214307243215
200,,0.6,1,0.10013565865341888,0.1217440509905522
100,50.0,0.6,1,0.10254938582603974,0.12289096136419415
100,,0.6,1,0.10262218765052973,0.12298680848170462
200,50.0,1.0,0.5,0.6357997961691659,0.5086488345616145
200,50.0,1.0,sqrt,0.6357997961691659,0.5086488345616145
200,,1.0,0.5,0.6357997961691659,0.5086488345616145
200,50.0,1.0,1,0.6357997961691659,0.5086488345616145
200,,1.0,1,0.6357997961691659,0.5086488345616145
200,,1.0,sqrt,0.6357997961691659,0.5086488345616145
100,50.0,1.0,0.5,0.6600578354044995,0.5263157409393017
100,50.0,1.0,sqrt,0.6600578354044995,0.5263157409393017
100,,1.0,sqrt,0.6600578354044995,0.5263157409393017
100,,1.0,1,0.6600578354044995,0.5263157409393017
100,50.0,1.0,1,0.6600578354044995,0.5263157409393017
100,,1.0,0.5,0.6600578354044995,0.5263157409393017
