n_estimators,max_depth,max_samples,max_features,Train_RMSPE,Val_RMSPE
100,25,0.8,0.5,0.045327554826604034,0.09126510271802148
100,50,0.8,0.5,0.04239957199767524,0.09133634785006381
50,25,0.8,0.5,0.04485930807852963,0.09208169784564126
50,50,0.8,0.5,0.042061951481200836,0.09208805289496483
100,50,0.6,0.5,0.05275139606402959,0.09257726062669323
100,25,0.6,0.5,0.05610078939477769,0.09272959763054171
50,25,0.6,0.5,0.055479926169235284,0.09359583878800824
50,50,0.6,0.5,0.053549524461068754,0.09373705592679055
100,50,0.8,sqrt,0.06053795341552504,0.09671745434438762
100,25,0.8,sqrt,0.06326789296240913,0.09693227940618945
50,50,0.8,sqrt,0.059787254819172464,0.09809727038203239
50,25,0.8,sqrt,0.06208926268190512,0.09810318635094536
100,25,0.6,sqrt,0.08289203145346274,0.09880050009996771
100,50,0.6,sqrt,0.07606946419514492,0.09883234039856019
50,50,0.6,sqrt,0.0781233255769248,0.10071712433683072
50,25,0.6,sqrt,0.0860092347791422,0.10092498708781876
100,10,0.8,0.5,0.13078145642088773,0.11928223993282101
100,10,0.6,0.5,0.13242969636048438,0.11929403148951025
50,10,0.6,0.5,0.1326172430098936,0.11932234981090001
50,10,0.8,0.5,0.13233056812136018,0.11961228935287625
100,10,0.6,sqrt,0.19604347852592796,0.1425952614560813
50,10,0.6,sqrt,0.1981998422557716,0.14292301600064586
100,10,0.8,sqrt,0.1954782145912434,0.1435324479395456
50,10,0.8,sqrt,0.1976188376557143,0.14518899745903668
